12:31:38 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
12:36:56 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:37:09 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:37:14 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:37:14 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:37:38 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
12:53:31 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:53:50 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:53:55 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:53:55 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:54:27 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:04:23 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:04:34 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:04:39 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:04:40 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:04:57 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:08:54 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:09:05 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:09:10 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
1:09:10 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
1:09:26 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:09:37 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
1:11:07 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWE120423,Avatar,900 | Status: Success | Server Response: Movie Slots Added
